id,year,month,month_name,mode,boardings
57,2022,9,September,metropolitan_bus,7472155
57,2022,9,September,regional_train,1378784
57,2022,9,September,regional_coach,74648
57,2022,9,September,regional_bus,858200
58,2022,10,October,metropolitan_train,12909284
58,2022,10,October,metropolitan_tram,12080170
58,2022,10,October,metropolitan_bus,8156542
58,2022,10,October,regional_train,1388467
58,2022,10,October,regional_coach,68919
58,2022,10,October,regional_bus,1159113
59,2022,11,November,metropolitan_train,13072188
59,2022,11,November,metropolitan_tram,12137205
59,2022,11,November,metropolitan_bus,8312554
59,2022,11,November,regional_train,1366061
59,2022,11,November,regional_coach,74053
59,2022,11,November,regional_bus,1035487
60,2022,12,December,metropolitan_train,11867965
60,2022,12,December,metropolitan_tram,10945095
60,2022,12,December,metropolitan_bus,7434002
60,2022,12,December,regional_train,1372918
60,2022,12,December,regional_coach,85612
60,2022,12,December,regional_bus,863993
61,2023,1,January,metropolitan_train,10109375
61,2023,1,January,metropolitan_tram,12245668
61,2023,1,January,metropolitan_bus,7090984
61,2023,1,January,regional_train,1295225
61,2023,1,January,regional_coach,84946
61,2023,1,January,regional_bus,820221
62,2023,2,February,metropolitan_train,12831622
62,2023,2,February,metropolitan_tram,12894448
62,2023,2,February,metropolitan_bus,8608284
62,2023,2,February,regional_train,1424645
62,2023,2,February,regional_coach,77949
62,2023,2,February,regional_bus,1096006
63,2023,3,March,metropolitan_train,16527142
63,2023,3,March,metropolitan_tram,15292063
63,2023,3,March,metropolitan_bus,10301621
63,2023,3,March,regional_train,1869164
63,2023,3,March,regional_coach,88964
63,2023,3,March,regional_bus,1247122
64,2023,4,April,metropolitan_train,13288137
64,2023,4,April,metropolitan_tram,12402173
64,2023,4,April,metropolitan_bus,8124564
64,2023,4,April,regional_train,1469224
64,2023,4,April,regional_coach,89335
64,2023,4,April,regional_bus,938444
65,2023,5,May,metropolitan_train,15312507
65,2023,5,May,metropolitan_tram,12760569
65,2023,5,May,metropolitan_bus,9848630
65,2023,5,May,regional_train,1743181
65,2023,5,May,regional_coach,95859
65,2023,5,May,regional_bus,1222849
66,2023,6,June,metropolitan_train,13115087
66,2023,6,June,metropolitan_tram,11602791
66,2023,6,June,metropolitan_bus,8635816
66,2023,6,June,regional_train,1693444
66,2023,6,June,regional_coach,94894
66,2023,6,June,regional_bus,1049480
67,2023,7,July,metropolitan_train,14020167
67,2023,7,July,metropolitan_tram,12335062
67,2023,7,July,metropolitan_bus,9219892
67,2023,7,July,regional_train,1846565
67,2023,7,July,regional_coach,99755
67,2023,7,July,regional_bus,1148259
68,2023,8,August,metropolitan_train,16437412
68,2023,8,August,metropolitan_tram,13280460
68,2023,8,August,metropolitan_bus,10304037
68,2023,8,August,regional_train,1807251
68,2023,8,August,regional_coach,98413
68,2023,8,August,regional_bus,1255113
69,2023,9,September,metropolitan_train,14847177
69,2023,9,September,metropolitan_tram,12149257
69,2023,9,September,metropolitan_bus,9260131
69,2023,9,September,regional_train,1775964
69,2023,9,September,regional_coach,100982
69,2023,9,September,regional_bus,1103635
70,2023,10,October,metropolitan_train,15199277
70,2023,10,October,metropolitan_tram,12453509
70,2023,10,October,metropolitan_bus,10083249
70,2023,10,October,regional_train,1849701
70,2023,10,October,regional_coach,106717
70,2023,10,October,regional_bus,1242909
71,2023,11,November,metropolitan_train,14653512
71,2023,11,November,metropolitan_tram,12503061
71,2023,11,November,metropolitan_bus,9872183
71,2023,11,November,regional_train,1808656
71,2023,11,November,regional_coach,104648
71,2023,11,November,regional_bus,1190730
72,2023,12,December,metropolitan_train,13516661
72,2023,12,December,metropolitan_tram,12173168
72,2023,12,December,metropolitan_bus,8548817
72,2023,12,December,regional_train,1759529
72,2023,12,December,regional_coach,111120
72,2023,12,December,regional_bus,1009701
73,2024,1,January,metropolitan_train,13254775
73,2024,1,January,metropolitan_tram,11821351
73,2024,1,January,metropolitan_bus,8335210
73,2024,1,January,regional_train,1758433
73,2024,1,January,regional_coach,113350
73,2024,1,January,regional_bus,841044
74,2024,2,February,metropolitan_train,15828610
74,2024,2,February,metropolitan_tram,13427105
74,2024,2,February,metropolitan_bus,10441479
74,2024,2,February,regional_train,1781717
74,2024,2,February,regional_coach,104337
74,2024,2,February,regional_bus,1115173
75,2024,3,March,metropolitan_train,17171572
75,2024,3,March,metropolitan_tram,14840535
75,2024,3,March,metropolitan_bus,10596736
75,2024,3,March,regional_train,2042080
75,2024,3,March,regional_coach,112283
75,2024,3,March,regional_bus,1116628
76,2024,4,April,metropolitan_train,15943432
76,2024,4,April,metropolitan_tram,14241713
76,2024,4,April,metropolitan_bus,9271098
76,2024,4,April,regional_train,2009412
76,2024,4,April,regional_coach,114813
76,2024,4,April,regional_bus,1056862
77,2024,5,May,metropolitan_train,17201139
77,2024,5,May,metropolitan_tram,13914626
77,2024,5,May,metropolitan_bus,10256661
77,2024,5,May,regional_train,2164662
77,2024,5,May,regional_coach,109868
77,2024,5,May,regional_bus,1247979
78,2024,6,June,metropolitan_train,14454677
78,2024,6,June,metropolitan_tram,11656478
78,2024,6,June,metropolitan_bus,8706404
78,2024,6,June,regional_train,1882061
78,2024,6,June,regional_coach,104351
78,2024,6,June,regional_bus,994915
79,2024,7,July,metropolitan_train,15901814
79,2024,7,July,metropolitan_tram,13019738
79,2024,7,July,metropolitan_bus,9829583
79,2024,7,July,regional_train,2084437
79,2024,7,July,regional_coach,110936
79,2024,7,July,regional_bus,1068435
80,2024,8,August,metropolitan_train,17273609
80,2024,8,August,metropolitan_tram,13714916
80,2024,8,August,metropolitan_bus,10737761
80,2024,8,August,regional_train,2122092
80,2024,8,August,regional_coach,108656
80,2024,8,August,regional_bus,1183307
81,2024,9,September,metropolitan_train,15323401
81,2024,9,September,metropolitan_tram,11695377
81,2024,9,September,metropolitan_bus,9188549
81,2024,9,September,regional_train,1970804
81,2024,9,September,regional_coach,107465
81,2024,9,September,regional_bus,1027230
82,2024,10,October,metropolitan_train,16934209
82,2024,10,October,metropolitan_tram,14575255
82,2024,10,October,metropolitan_bus,10555383
82,2024,10,October,regional_train,2277335
82,2024,10,October,regional_coach,126770
82,2024,10,October,regional_bus,1193762
83,2024,11,November,metropolitan_train,14968410
83,2024,11,November,metropolitan_tram,13548253
83,2024,11,November,metropolitan_bus,9323924
83,2024,11,November,regional_train,2001615
83,2024,11,November,regional_coach,112359
83,2024,11,November,regional_bus,940930
84,2024,12,December,metropolitan_train,13603360
84,2024,12,December,metropolitan_tram,13101396
84,2024,12,December,metropolitan_bus,8687979
84,2024,12,December,regional_train,1977501
84,2024,12,December,regional_coach,121320
84,2024,12,December,regional_bus,921439
85,2025,1,January,metropolitan_train,13379440
85,2025,1,January,metropolitan_tram,12523366
85,2025,1,January,metropolitan_bus,8183939
85,2025,1,January,regional_train,1923083
85,2025,1,January,regional_coach,122422
85,2025,1,January,regional_bus,782149
86,2025,2,February,metropolitan_train,14514256
86,2025,2,February,metropolitan_tram,13058985
86,2025,2,February,metropolitan_bus,9179004
86,2025,2,February,regional_train,1927292
86,2025,2,February,regional_coach,104244
86,2025,2,February,regional_bus,1025310
87,2025,3,March,metropolitan_train,17994138
87,2025,3,March,metropolitan_tram,15300456
87,2025,3,March,metropolitan_bus,10650660
87,2025,3,March,regional_train,2340160
87,2025,3,March,regional_coach,119824
87,2025,3,March,regional_bus,1147175
88,2025,4,April,metropolitan_train,15480989
88,2025,4,April,metropolitan_tram,13414808
88,2025,4,April,metropolitan_bus,9353277
88,2025,4,April,regional_train,2107410
88,2025,4,April,regional_coach,116481
88,2025,4,April,regional_bus,961133
89,2025,5,May,metropolitan_train,17588793
89,2025,5,May,metropolitan_tram,14443916
89,2025,5,May,metropolitan_bus,10384586
89,2025,5,May,regional_train,2334482
89,2025,5,May,regional_coach,111430
89,2025,5,May,regional_bus,1110728
90,2025,6,June,metropolitan_train,14442545
90,2025,6,June,metropolitan_tram,11792860
90,2025,6,June,metropolitan_bus,8809813
90,2025,6,June,regional_train,1995473
90,2025,6,June,regional_coach,110283
90,2025,6,June,regional_bus,962106
91,2025,7,July,metropolitan_train,15451503
91,2025,7,July,metropolitan_tram,12651420
91,2025,7,July,metropolitan_bus,9573219
91,2025,7,July,regional_train,2222082
91,2025,7,July,regional_coach,113079
91,2025,7,July,regional_bus,956183
92,2025,8,August,metropolitan_train,16189046
92,2025,8,August,metropolitan_tram,12233414
92,2025,8,August,metropolitan_bus,9969102
92,2025,8,August,regional_train,2230571
92,2025,8,August,regional_coach,106863
92,2025,8,August,regional_bus,990904
93,2025,9,September,metropolitan_train,14998479
93,2025,9,September,metropolitan_tram,11515404
93,2025,9,September,metropolitan_bus,9143531
93,2025,9,September,regional_train,2136275
93,2025,9,September,regional_coach,105410
93,2025,9,September,regional_bus,940369
94,2025,10,October,metropolitan_train,15977164
94,2025,10,October,metropolitan_tram,12402127
94,2025,10,October,metropolitan_bus,10077976
94,2025,10,October,regional_train,2286247
94,2025,10,October,regional_coach,118470
94,2025,10,October,regional_bus,1117069
95,2025,11,November,metropolitan_train,14297664
95,2025,11,November,metropolitan_tram,12265500
95,2025,11,November,metropolitan_bus,8815809
95,2025,11,November,regional_train,2060472
95,2025,11,November,regional_coach,107793
95,2025,11,November,regional_bus,936233
96,2025,12,December,metropolitan_train,14894850
96,2025,12,December,metropolitan_tram,12069311
96,2025,12,December,metropolitan_bus,8281774
96,2025,12,December,regional_train,2157499
96,2025,12,December,regional_coach,122578
96,2025,12,December,regional_bus,895411
97,2026,1,January,metropolitan_train,14263509
97,2026,1,January,metropolitan_tram,NA
97,2026,1,January,metropolitan_bus,7624940
97,2026,1,January,regional_train,1604510
97,2026,1,January,regional_coach,110891
97,2026,1,January,regional_bus,771902
